alias_id,plant_id,alias_name,alias_key,alias_type,source_name,source_url,source_batch_id,retrieved_at
al_c754d38098c91e59e3f481c4,pl_66efc15a54fbf2ac521ec183,Gardenia jasminoides J.Ellis,gardenia jasminoides j ellis,normalized_variant,KNApSAcK World,,,
al_5781a279b97d3e7105b19d6c,pl_68ef41afe2dec9009224c21d,Plantago major L.,plantago major l,normalized_variant,KNApSAcK World,,,
al_2b722e03e4efebf54a46fe21,pl_693d89d9ed30b6488e616507,Alternanthera philoxeroides (Mart.) Griseb.,alternanthera philoxeroides mart griseb,normalized_variant,KNApSAcK World,,,
al_12e985d99edb9dac5b2446e6,pl_695ac73e10112b41da4fdbdb,Senna alexandrina var. alexandrina,senna alexandrina var alexandrina,normalized_variant,KNApSAcK World,,,
al_f71ed48922d7e9ac5c4b71c1,pl_695ac73e10112b41da4fdbdb,Cassia angustifolia Vahl,cassia angustifolia vahl,synonym_variant,KNApSAcK World,,,
al_a4221ab83d8b411de8cdc7cd,pl_69caf1c7d629f28a2a804c04,Allamanda cathartica L.,allamanda cathartica l,normalized_variant,KNApSAcK World,,,
al_505d8192dc03829ab84789bf,pl_6ac82556910d089cb5d9ec44,Jasminum officinale L.,jasminum officinale l,normalized_variant,KNApSAcK World,,,
al_1d18d6ccf5cc412fc684a065,pl_6ba25400e8819ac16768a21a,Pachyrhizus erosus (L.) Urb.,pachyrhizus erosus l urb,normalized_variant,KNApSAcK World,,,
al_443db8454076ec4beedf5014,pl_6ba25400e8819ac16768a21a,Pachyrrhizus erosus (L.) Urb.,pachyrrhizus erosus l urb,synonym_variant,KNApSAcK World,,,
al_6a939cc39615d9e9cc3278e4,pl_6bb11ae257e4e040e46a57a1,Crocus sativus L.,crocus sativus l,normalized_variant,KNApSAcK World,,,
al_94bc09e301d47e9dc5479411,pl_6c0ee9824243d8efd7e0f533,Brachypterum scandens (Roxb.) Miq.,brachypterum scandens roxb miq,normalized_variant,KNApSAcK World,,,
al_b7b18ca790c59d856f9a4817,pl_6ce1a7fb827ae4ce7c1fabb8,Albizia chinensis (Osbeck) Merr.,albizia chinensis osbeck merr,normalized_variant,KNApSAcK World,,,
al_f6a2e253c27d0a659dc5a9bc,pl_6e1f5e4374db1bcd4740c580,Eclipta alba (L.) Hassk.,eclipta alba l hassk,normalized_variant,KNApSAcK World,,,
al_3b93660370e40cb377399a3f,pl_6eba2075ecdb668334702610,Clitoria ternatea L.,clitoria ternatea l,normalized_variant,KNApSAcK World,,,
al_aab6eec29d2d2796c3c620bb,pl_6ed4db2843f3f96702444a07,Catharanthus roseus (L.) G.Don,catharanthus roseus l g don,normalized_variant,KNApSAcK World,,,
al_e92e6e22d6a4728f5f417d04,pl_6f668d0fccf500480c167eab,Abrus fruticulosus Wall. ex Wight & Arn.,abrus fruticulosus wall ex wight arn,normalized_variant,KNApSAcK World,,,
al_57c008a53887d2ba9dd71442,pl_711c6916e169dc1f9e46b292,Orthosiphon aristatus var. aristatus,orthosiphon aristatus var aristatus,normalized_variant,KNApSAcK World,,,
al_c73722853b6c41ed2e0b94ed,pl_711c6916e169dc1f9e46b292,Orthosiphon stamineus Benth.,orthosiphon stamineus benth,synonym_variant,KNApSAcK World,,,
al_01807c963e21158135b5d5a1,pl_7222db2fb4ec1d7c0b2b4a45,Senna tora (L.) Roxb.,senna tora l roxb,normalized_variant,KNApSAcK World,,,
al_cec479db6f7cb2e098baebc0,pl_7222db2fb4ec1d7c0b2b4a45,Cassia tora L.,cassia tora l,synonym_variant,KNApSAcK World,,,
al_2443192ef0275341aa7167ce,pl_72d182f2fba1743d2bec3716,Scurrula fusca (Blume) G.Don,scurrula fusca blume g don,normalized_variant,KNApSAcK World,,,
al_61863d18cfbdefc6283e8ecc,pl_73299e658fb79639c0db2bf1,Ficus carica L.,ficus carica l,normalized_variant,KNApSAcK World,,,
al_21bf1d70fa0cf0e7405c7071,pl_77b85f88d6ea468c02637f4a,Coleus amboinicus Lour.,coleus amboinicus lour,normalized_variant,KNApSAcK World,,,
al_96ef1bb40b205ed2e05a9f38,pl_7805e27f722a8eb95b4a35e3,Capsicum frutescens L.,capsicum frutescens l,normalized_variant,KNApSAcK World,,,
al_9470e122c09fea551564cf01,pl_783789f39cbbb89d77af60f8,Anredera cordifolia (Ten.) Steenis,anredera cordifolia ten steenis,normalized_variant,KNApSAcK World,,,
al_02bc28392087d49cfa0d05aa,pl_7afe8472ff94139dc997f141,Alpinia officinarum Hance,alpinia officinarum hance,normalized_variant,KNApSAcK World,,,
al_11832ca95eda183820e9acb5,pl_7b72ec1fa77bdb61525fcc88,Citrus medica L.,citrus medica l,normalized_variant,KNApSAcK World,,,
al_a3877e8eff5e329da7af74ce,pl_7bc088918ae011d542ce6dd1,Cannabis sativa L.,cannabis sativa l,normalized_variant,KNApSAcK World,,,
al_93104daa055747e2e753c977,pl_7c0657d68ae65e920f709129,Leucaena leucocephala (Lam.) de Wit,leucaena leucocephala lam de wit,normalized_variant,KNApSAcK World,,,
al_be129aa7841f3689ef83ee08,pl_7c9ac2958197507a726ddbf3,Meistera aculeata (Roxb.) Škorničk. & M.F.Newman,meistera aculeata roxb skornick m f newman,normalized_variant,KNApSAcK World,,,
al_04483643d0788f3ce3c6e916,pl_7c9ac2958197507a726ddbf3,Amomum aculeatum Roxb.,amomum aculeatum roxb,synonym_variant,KNApSAcK World,,,
al_127558016cdff3d7b8dbc490,pl_7ce739c1593db4206a509e5a,Daucus carota L.,daucus carota l,normalized_variant,KNApSAcK World,,,
